Class,ID
0,138028
0,63099
0,73411
0,164247
0,148999
0,38488
0,153861
0,20458
0,158719
0,10980
0,45407
0,248639
0,136754
0,76700
0,190195
0,249322
0,49363
0,66794
0,45817
0,221437
0,127274
0,30788
0,238800
0,97840
0,228543
0,251261
0,237223
0,186112
0,102431
0,251828
0,168035
0,122614
0,88075
0,192206
0,143105
0,22621
0,249004
0,178607
0,86164
0,175286
0,193698
0,98934
0,161223
0,179855
0,69654
0,193077
0,268602
0,107985
0,266106
0,33631
0,70929
0,175881
0,27329
0,187550
0,71700
0,11840
0,198183
0,237277
0,253223
0,156189
0,3059
0,136630
0,250454
0,32795
0,125913
0,21508
0,206033
0,45728
0,152948
0,120301
0,251015
0,16307
0,175443
0,256275
0,233528
0,93441
0,209824
0,63916
0,66724
0,176716
0,251020
0,163620
0,202699
0,85802
0,47535
0,39680
0,37668
0,225632
0,237521
0,219949
0,156174
0,241588
0,146913
0,158353
0,41777
0,59526
0,90640
0,104837
0,116161
0,261018
0,188093
0,154261
0,135603
0,124884
0,280447
0,269261
0,35123
0,283834
0,195552
0,50565
0,280126
0,16467
0,169682
0,166627
0,153995
0,24542
0,130379
0,6595
0,279161
0,29577
0,184033
0,255545
0,276121
0,225718
0,35947
0,77489
0,110005
0,149725
0,250084
0,161326
0,189056
0,130890
0,231115
0,35325
0,109763
0,157043
0,151732
0,213599
0,61747
0,237718
0,252999
0,135872
0,224184
0,45206
0,75689
0,137594
0,233978
0,5555
0,2854
0,39763
0,274057
0,107720
0,176305
0,197036
0,257332
0,224664
0,157183
0,249818
0,27735
0,174960
0,94316
0,197778
0,106257
0,233040
0,238167
0,197050
0,54360
0,234262
0,268818
0,153890
0,215616
0,14679
0,64688
0,144400
0,157530
0,122285
0,57838
0,31991
0,103784
0,223301
0,223840
0,34975
0,219812
0,15104
0,263729
0,94104
0,169597
0,165110
0,44217
0,212178
0,159855
0,7379
0,277419
0,28270
0,129728
0,158149
0,259328
0,257845
0,103078
0,77777
0,76398
0,156954
0,222932
0,29005
0,14730
0,253643
0,121796
0,154096
0,175394
0,200118
0,32194
0,239691
0,31840
0,201758
0,125515
0,142474
0,76302
0,35896
0,204335
0,17748
0,124525
0,269467
0,282362
0,1833
0,232331
0,799
0,93031
0,46010
0,239483
0,88015
0,48498
0,67497
0,160258
0,277752
0,205915
0,205787
0,47344
0,68217
0,206084
0,76163
0,220166
0,173700
0,219344
0,60735
0,1107
0,35256
0,139133
0,75216
0,177057
0,252226
0,134447
0,243617
0,28858
0,50204
0,23050
0,103430
0,105219
0,26371
0,92645
0,259117
0,100236
0,90855
0,133983
0,211990
0,116662
0,255561
0,196751
0,7454
0,269480
0,155964
0,84735
0,165807
0,155967
0,164874
0,91492
0,20746
0,145814
0,77253
0,89516
0,164072
0,198552
0,204805
0,241321
0,14327
0,235998
0,232091
0,17472
0,194093
0,157580
0,187662
0,171795
0,235330
0,89723
0,2865
0,246628
0,129867
0,32474
0,150277
0,273222
0,193189
0,267225
0,61136
0,25784
0,224363
0,68443
0,283471
0,190038
0,163265
0,108727
0,163262
0,225018
0,23141
0,110643
0,97973
0,42852
0,82989
0,134636
0,226990
0,151504
0,156127
0,28747
0,77211
0,248467
0,249445
0,84205
0,10898
0,98503
0,270805
0,148288
0,227694
0,238904
0,169918
0,65136
0,171291
0,227387
0,212425
0,4150
0,274447
0,177685
0,193689
0,123402
0,145157
0,170283
0,123288
0,206796
0,248493
0,40181
0,60685
0,221064
0,131560
0,165533
0,96074
0,112975
